qtype,Question,Answer
treatment,What are the treatments for La Crosse encephalitis ?,"How might La Crosse (LAC) encephalitis be treated? There is no specific treatment for LAC encephalitis. Severe cases are treated with supportive therapy which may include hospitalization, respiratory support, IV fluids and prevention of other infections.[9633]"
symptoms,What are the symptoms of Felty's syndrome ?,"What are the signs and symptoms of Felty's syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Felty's syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of neutrophils 90% Arthralgia 90% Arthritis 90% Autoimmunity 90% Limitation of joint mobility 90% Osteolysis 90% Abnormality of lymphocytes 50% Anemia 50% Lymphadenopathy 50% Otitis media 50% Recurrent pharyngitis 50% Sinusitis 50% Splenomegaly 50% Weight loss 50% Abnormality of the pericardium 7.5% Abnormality of the pleura 7.5% Bone marrow hypocellularity 7.5% Cellulitis 7.5% Generalized hyperpigmentation 7.5% Hepatomegaly 7.5% Inflammatory abnormality of the eye 7.5% Irregular hyperpigmentation 7.5% Lymphoma 7.5% Peripheral neuropathy 7.5% Pulmonary fibrosis 7.5% Recurrent urinary tract infections 7.5% Sepsis 7.5% Skin ulcer 7.5% Thrombocytopenia 7.5% Autosomal dominant inheritance - Neutropenia - Rheumatoid arthritis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,What are the symptoms of Arginase deficiency ?,"What are the signs and symptoms of Arginase deficiency? The Human Phenotype Ontology provides the following list of signs and symptoms for Arginase deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Aminoaciduria 90% Behavioral abnormality 90% Cognitive impairment 90% Neurological speech impairment 90% EEG abnormality 50% Hemiplegia/hemiparesis 50% Hyperammonemia 50% Seizures 50% Anorexia - Autosomal recessive inheritance - Diaminoaciduria - Hyperactivity - Intellectual disability - Irritability - Oroticaciduria - Postnatal growth retardation - Progressive spastic quadriplegia - Vomiting - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
treatment,What are the treatments for Arginase deficiency ?,"How might arginase deficiency be treated? The treatment and management of arginase deficiency is generally focused on lowering arginine levels and preventing hyperammonemia (an accumulation of ammonia in the blood). This may be accomplished through dietary modifications and the use of certain medications (called nitrogen-scavenging drugs) under the supervision of a medical team with experience treating metabolic conditions. More specifically, people affected by arginase deficiency must restrict dietary protein and arginine. This is often achieved with the use of specialized formulas, which may account for half or more of protein intake. Although people with arginase deficiency are less prone to episodes of severe hyperammonemia than people affected by other urea cycle disorders, special treatment is needed should these episodes occur. During an episode, affected people are generally treated in the hospital and may require dialysis, nitrogen-scavenging medications, intravenous (IV) fluids/feeds and/or other treatments. These treatments are administered with the goal of rapidly reducing blood ammonia levels and preventing neurological damage. GeneReviews offers more specific information on the treatment of arginase deficiency and urea cycle disorders, in general. Please click on the links to access these resources."
symptoms,What are the symptoms of Madokoro Ohdo Sonoda syndrome ?,"What are the signs and symptoms of Madokoro Ohdo Sonoda syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Madokoro Ohdo Sonoda syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of metabolism/homeostasis - Absent lacrimal punctum - Autosomal recessive inheritance - Bulbous nose - Constipation - Cryptorchidism - Downturned corners of mouth - Ectodermal dysplasia - High, narrow palate - Hypoplastic lacrimal duct - Hypotrichosis - Intellectual disability - Preauricular pit - Sacral dimple - Tetraamelia - Umbilical hernia - Upslanted palpebral fissure - Wide mouth - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,What are the symptoms of DICER1-related pleuropulmonary blastoma cancer predisposition syndrome ?,"What are the signs and symptoms of DICER1-related pleuropulmonary blastoma cancer predisposition syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for DICER1-related pleuropulmonary blastoma cancer predisposition syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of metabolism/homeostasis - Autosomal dominant inheritance - Familial predisposition - Medulloblastoma - Pleuropulmonary blastoma - Rhabdomyosarcoma - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,What are the symptoms of L-2-hydroxyglutaric aciduria ?,"What are the signs and symptoms of L-2-hydroxyglutaric aciduria? The Human Phenotype Ontology provides the following list of signs and symptoms for L-2-hydroxyglutaric aciduria. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cognitive impairment 90% Encephalitis 90% Seizures 90% Abnormality of extrapyramidal motor function 50% Aplasia/Hypoplasia of the cerebellum 50% Behavioral abnormality 50% Hypertonia 50% Macrocephaly 50% Muscular hypotonia 50% Neoplasm of the nervous system 50% Neurological speech impairment 7.5% Abnormal pyramidal signs - Autosomal recessive inheritance - Cerebellar atrophy - Corpus callosum atrophy - Developmental regression - Dysphasia - Gliosis - Global brain atrophy - Hearing impairment - Infantile onset - Intellectual disability, progressive - Intellectual disability, severe - L-2-hydroxyglutaric acidemia - L-2-hydroxyglutaric aciduria - Leukoencephalopathy - Morphological abnormality of the pyramidal tract - Nystagmus - Optic atrophy - Severe demyelination of the white matter - Spastic tetraparesis - Strabismus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,What are the symptoms of Osteogenesis imperfecta type III ?,"What are the signs and symptoms of Osteogenesis imperfecta type III? The Human Phenotype Ontology provides the following list of signs and symptoms for Osteogenesis imperfecta type III. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the nervous system - Abnormality of the thorax - Autosomal dominant inheritance - Autosomal recessive inheritance - Basilar impression - Biconcave vertebral bodies - Blue sclerae - Bowing of limbs due to multiple fractures - Decreased calvarial ossification - Dentinogenesis imperfecta - Frontal bossing - Hearing impairment - Kyphosis - Multiple prenatal fractures - Neonatal short-limb short stature - Platybasia - Protrusio acetabuli - Pulmonary hypertension - Recurrent fractures - Scoliosis - Severe generalized osteoporosis - Slender long bone - Tibial bowing - Triangular face - Wide anterior fontanel - Wormian bones - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,What are the symptoms of Dicarboxylic aminoaciduria ?,"What are the signs and symptoms of Dicarboxylic aminoaciduria? There are no common signs or symptoms of dicarboxylic aminoaciduria. Hypoglycemia, developmental and neurological abnormalities, and obsessive compulsive tendencies were described in individual cases. Others that have been diagnosed had virtually no signs or symptoms. The Human Phenotype Ontology provides the following list of signs and symptoms for Dicarboxylic aminoaciduria. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Aminoaciduria - Autosomal recessive inheritance - Fasting hypoglycemia - Intellectual disability - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,What are the symptoms of Microgastria limb reduction defect ?,"What are the signs and symptoms of Microgastria limb reduction defect? The Human Phenotype Ontology provides the following list of signs and symptoms for Microgastria limb reduction defect. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the spleen 90% Aplasia/Hypoplasia of the radius 90% Aplasia/Hypoplasia of the thumb 90% Microgastria 90% Abnormality of the humerus 50% Abnormality of the metacarpal bones 50% Abnormality of the ulna 50% Congenital muscular torticollis 50% Frontal bossing 50% Multicystic kidney dysplasia 50% Plagiocephaly 50% Abnormal localization of kidney 7.5% Abnormal lung lobation 7.5% Abnormality of neuronal migration 7.5% Abnormality of the clavicle 7.5% Absent hand 7.5% Amelia 7.5% Aplasia/Hypoplasia affecting the eye 7.5% Aplasia/Hypoplasia of the corpus callosum 7.5% Atria septal defect 7.5% Elbow dislocation 7.5% Hepatomegaly 7.5% Holoprosencephaly 7.5% Intestinal malrotation 7.5% Phocomelia 7.5% Renal hypoplasia/aplasia 7.5% Split hand 7.5% Tracheoesophageal fistula 7.5% Truncus arteriosus 7.5% Urogenital fistula 7.5% Absent gallbladder - Absent thumb - Aganglionic megacolon - Agenesis of corpus callosum - Anophthalmia - Arrhinencephaly - Asplenia - Bicornuate uterus - Biliary tract abnormality - Cryptorchidism - Cystic renal dysplasia - Failure to thrive - Fusion of the left and right thalami - Gastroesophageal reflux - Horseshoe kidney - Hypoplasia of the radius - Hypoplasia of the ulna - Oligodactyly (hands) - Pelvic kidney - Polymicrogyria - Secundum atrial septal defect - Sporadic - Type I truncus arteriosus - Unilateral renal agenesis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,"What are the symptoms of Spondyloepimetaphyseal dysplasia, Aggrecan type ?","What are the signs and symptoms of Spondyloepimetaphyseal dysplasia, Aggrecan type? The Human Phenotype Ontology provides the following list of signs and symptoms for Spondyloepimetaphyseal dysplasia, Aggrecan type. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Absent nasal bridge 3/3 Barrel-shaped chest 3/3 Broad thumb 3/3 Joint laxity 3/3 Low-set ears 3/3 Lumbar hyperlordosis 3/3 Malar flattening 3/3 Mandibular prognathia 3/3 Mesomelia 3/3 Posteriorly rotated ears 3/3 Relative macrocephaly 3/3 Rhizomelia 3/3 Short finger 3/3 Short neck 3/3 Hoarse voice 2/3 Autosomal recessive inheritance - Spondyloepimetaphyseal dysplasia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,What are the symptoms of Autosomal dominant compelling helio ophthalmic outburst syndrome ?,"What are the signs and symptoms of Autosomal dominant compelling helio ophthalmic outburst syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Autosomal dominant compelling helio ophthalmic outburst syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the nervous system - Autosomal dominant inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,What are the symptoms of Punctate palmoplantar keratoderma type I ?,"What are the signs and symptoms of Punctate palmoplantar keratoderma type I? Signs and symptoms of punctate palmoplantar keratoderma type 1 tend to become evident between the ages of 10 to 30 years. Symptoms include multiple, tiny, hard rounded bumps of thickened skin on the palms of the hands and soles of the feet. The bumps may join to form calluses on pressure points. The legions may cause pain, making walking difficult and impairing hand/finger movement. Symptoms tend to worsen with time and may be aggravated by manual work or injury. In some families, punctate palmoplantar keratoderma type 1 appears to be associated with an increased risk for several types of cancer. The Human Phenotype Ontology provides the following list of signs and symptoms for Punctate palmoplantar keratoderma type I. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Palmoplantar keratoderma 90% Lymphoma 50% Neoplasm of the breast 50% Neoplasm of the colon 50% Neoplasm of the pancreas 50% Renal neoplasm 50% Abnormality of the nail 7.5% Abnormality of the skin - Autosomal dominant inheritance - Heterogeneous - Late onset - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
treatment,What are the treatments for Punctate palmoplantar keratoderma type I ?,"How might punctate palmoplantar keratoderma type 1 be treated? Treatment options for this condition generally include topical salicylic acid, mechanical debridement, excision, and systemic retinoids. These therapies can lead to a temporary decrease in skin thickness and softening of the skin. Unfortunately, in many cases, medical and surgical treatment for punctate keratodermas do not provide consistent or long-lasting results. In general, there has been some reported success using keratolytics such as corticosteroids, urea, salicylic acid, lactic acid, or Vitamin A. Systemic therapy using vitamin D analogues, aromatic retinoids, and 5-fluorouracil has also been used. However, individuals with successful resolution of lesions often relapse unless they are maintained on chronic low-dose therapy. These topical and systemic treatments carry a variety of side effects. Surgery (including excision and skin grafting) for punctate keratodermas has been used on lesions resistant to medical treatment, but healing after surgical treatment can be difficult. CO2 laser ablation has also been attempted and reportedly produces good results for limited areas of hyperkeratosis of the palms."
symptoms,What are the symptoms of 2q37 deletion syndrome ?,"What are the signs and symptoms of 2q37 deletion syndrome? Most babies with 2q37 deletion syndrome are born with hypotonia, which usually improves with age. About 25 percent of those with this condition have autism, a developmental condition that affects communication and social interaction. The characteristic facial features include a prominent forehead, highly arched eyebrows, deep-set eyes, a flat nasal bridge, a thin upper lip, and minor ear abnormalities. Other features can include short stature, obesity, unusually short fingers and toes (brachymetaphalangy), sparse hair, heart defects, seizures, and an inflammatory skin disorder called eczema. A few people with 2q37 deletion syndrome have a rare form of kidney cancer called Wilms tumor. Some affected individuals can also have malformations of the brain, gastrointestinal system, kidneys, and/or genitalia. Unique is a source of information and support to families and individuals affected by rare chromosome disorders. On their Web site, they have a pamphlet that provides additional information on the signs and symptoms of 2q37 deletion syndrome. Click on the link below to view this information. http://www.rarechromo.org/information/Chromosome%20%202/2q37%20deletions%20FTNW.pdf The Human Phenotype Ontology provides the following list of signs and symptoms for 2q37 deletion syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cognitive impairment 90% Malar flattening 90% Muscular hypotonia 90% Round face 90% Abnormal hair quantity 50% Abnormality of the metacarpal bones 50% Abnormality of the palate 50% Anteverted nares 50% Aplasia/Hypoplasia of the eyebrow 50% Brachydactyly syndrome 50% Broad columella 50% Clinodactyly of the 5th finger 50% Deeply set eye 50% Depressed nasal bridge 50% Downturned corners of mouth 50% Eczema 50% Finger syndactyly 50% Frontal bossing 50% Highly arched eyebrow 50% Joint hypermobility 50% Microcephaly 50% Obesity 50% Seizures 50% Short foot 50% Short palm 50% Short stature 50% Single transverse palmar crease 50% Supernumerary nipple 50% Thin vermilion border 50% Toe syndactyly 50% Umbilical hernia 50% Underdeveloped nasal alae 50% Upslanted palpebral fissure 50% Abnormality of the aorta 7.5% Attention deficit hyperactivity disorder 7.5% Autism 7.5% Conductive hearing impairment 7.5% Congenital diaphragmatic hernia 7.5% Laryngomalacia 7.5% Macrocephaly 7.5% Multicystic kidney dysplasia 7.5% Nephroblastoma (Wilms tumor) 7.5% Obsessive-compulsive behavior 7.5% Pyloric stenosis 7.5% Short neck 7.5% Sleep disturbance 7.5% Stereotypic behavior 7.5% Tracheomalacia 7.5% Arrhythmia 5% Sensorineural hearing impairment 5% Subaortic stenosis 5% Aggressive behavior - Brachycephaly - Broad face - Broad nasal tip - Congenital onset - Hyperactivity - Hypoplasia of midface - Hyporeflexia - Intellectual disability - Pain insensitivity - Self-injurious behavior - Short metacarpal - Short metatarsal - Short phalanx of finger - Short toe - Somatic mutation - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,What are the symptoms of Preauricular sinus ?,"What are the signs and symptoms of Preauricular sinus? The Human Phenotype Ontology provides the following list of signs and symptoms for Preauricular sinus. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Preauricular pit - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
treatment,What are the treatments for Preauricular sinus ?,"How might a preauricular sinus be treated? The majority of preauricular sinuses do not cause symptoms or problems unless they become infected. Common signs of infection include swelling, redness, fluid drainage, and pain. In these cases, treatment typically includes systemic antibiotics. If an abscess is present, it will likely need to be incised and drained. There are differing opinions in the medical literature about the indications for surgical removal of preauricular sinuses. Some believe that even asymptomatic sinuses should be removed. Others believe that surgery is indicated if infection or other complications arise."
symptoms,What are the symptoms of Radial ray hypoplasia choanal atresia ?,"What are the signs and symptoms of Radial ray hypoplasia choanal atresia? The Human Phenotype Ontology provides the following list of signs and symptoms for Radial ray hypoplasia choanal atresia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the metacarpal bones 90% Aplasia/Hypoplasia of the thumb 90% Depressed nasal bridge 90% Strabismus 90% Triphalangeal thumb 90% Abnormality of the skin 50% Abnormality of the wrist 50% Brachydactyly syndrome 50% Choanal atresia 50% Autosomal dominant inheritance - Choanal stenosis - Distally placed thumb - Esotropia - Hypoplasia of the radius - Short thumb - Small thenar eminence - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,What are the symptoms of Cataract microcornea syndrome ?,"What are the signs and symptoms of Cataract microcornea syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Cataract microcornea syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cataract 90% Microcornea 90% Myopia 50% Corneal dystrophy 7.5% Iris coloboma 7.5% Nystagmus 7.5% Opacification of the corneal stroma 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,What are the symptoms of Intellectual disability - athetosis - microphthalmia ?,"What are the signs and symptoms of Intellectual disability - athetosis - microphthalmia? The Human Phenotype Ontology provides the following list of signs and symptoms for Intellectual disability - athetosis - microphthalmia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of movement 90% Abnormality of thumb phalanx 90% Broad forehead 90% Chin dimple 90% Cognitive impairment 90% Facial cleft 90% Frontal bossing 90% Hypertelorism 90% Hypertonia 90% Hypoplasia of the ear cartilage 90% Large earlobe 90% Malar flattening 90% Microcephaly 90% Reduced number of teeth 90% Scoliosis 90% Single transverse palmar crease 90% Supernumerary nipple 90% Telecanthus 90% Abnormality of the palate 50% Abnormality of the thorax 50% Aplasia/Hypoplasia affecting the eye 50% Blue sclerae 50% Camptodactyly of finger 50% Facial asymmetry 50% Iris coloboma 50% Lip pit 50% Mandibular prognathia 50% Preauricular skin tag 50% Seizures 50% Strabismus 50% Tapered finger 50% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
symptoms,What are the symptoms of Loeys-Dietz syndrome type 2 ?,"What are the signs and symptoms of Loeys-Dietz syndrome type 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Loeys-Dietz syndrome type 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Absent distal phalanges 5% Arnold-Chiari malformation 5% Atria septal defect 5% Bicuspid aortic valve 5% Bicuspid pulmonary valve 5% Cerebral aneurysm 5% Cleft palate 5% Craniosynostosis 5% Descending aortic aneurysm 5% Disproportionate tall stature 5% Hydrocephalus 5% Inguinal hernia 5% Intellectual disability 5% Mitral valve prolapse 5% Osteoporosis 5% Postaxial polydactyly 5% Syndactyly 5% Umbilical hernia 5% Abnormality of the sternum - Arachnodactyly - Ascending aortic aneurysm - Ascending aortic dissection - Autosomal dominant inheritance - Bifid uvula - Blue sclerae - Brachydactyly syndrome - Camptodactyly - Dermal translucency - Exotropia - Generalized arterial tortuosity - Hypertelorism - Joint contracture of the hand - Joint laxity - Malar flattening - Patent ductus arteriosus - Proptosis - Pulmonary artery aneurysm - Retrognathia - Scoliosis - Talipes equinovarus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
